Date,BP,COP,CVX,EQNR,OKE,PXD,XOM
11/24/2010,41.47,46.84,82.93,20.65,22.63,79.25,69.88
11/26/2010,40.93,46.36,82.05,20.35,22.41,78.29,69.23
11/29/2010,40.59,46.26,81.69,20.17,22.37,80.15,69.45
11/30/2010,40,45.87,80.97,19.99,22.37,80.11,69.56
12/1/2010,40.62,47.61,82.7,20.57,22.52,84.27,71.33
12/2/2010,41.32,48.56,84.5,21.08,22.99,83.92,71.48
12/3/2010,41.49,48.73,84.89,21.64,23.19,84.05,71.19
12/6/2010,42.81,48.93,84.95,21.88,23.31,84.79,71.31
12/7/2010,42.89,49.07,86.3,22.05,23.36,84.55,71.46
12/8/2010,43.27,49.25,86.14,22.23,23.61,83.24,71.85
12/9/2010,42.79,49.3,86.65,22.27,23.72,83.25,72
12/10/2010,43.24,49.23,87.03,22.37,23.75,84.29,72.18
12/13/2010,43.43,49.91,88.37,22.66,23.74,84.2,72.36
12/14/2010,44.44,50.05,88.38,22.7,23.95,84.64,72.18
12/15/2010,43.86,49.64,88.01,22.67,23.55,84.6,71.85
12/16/2010,43.75,50.06,89.06,22.73,23.57,85.37,72.22
12/17/2010,43.25,49.6,88.49,22.89,23.71,85.06,72.17
12/20/2010,43.68,50.31,88.8,22.99,24.01,85.61,72.22
12/21/2010,43.54,50.79,89.23,23.31,24.08,87.26,72.72
12/22/2010,43.61,51.1,89.92,23.38,24.19,87.51,72.8
12/23/2010,44,51.14,90.68,23.34,24.27,86.62,73.2
12/27/2010,43.97,51.19,90.12,23.32,24.26,86.06,73.01
12/28/2010,44.11,51.49,91.19,23.42,24.3,85.85,73.42
12/29/2010,43.95,51.78,91.37,23.59,24.36,87.53,73.37
12/30/2010,43.89,51.84,91.6,23.6,24.38,86.94,73.36
12/31/2010,44.17,51.91,91.25,23.77,24.28,86.82,73.12
1/3/2011,45.15,52.02,91.94,24.06,24.7,88.38,74.55
1/4/2011,46.26,51.75,91.6,23.64,24.35,87.52,74.9
1/5/2011,46.5,51.49,91.44,23.74,24.24,88.15,74.7
1/6/2011,46.23,51.05,90.69,23.35,24.38,87.98,75.18
1/7/2011,46.08,51.16,91.19,23.45,24.43,87.88,75.59
1/10/2011,46.03,50.98,90.41,23.35,24.33,87.86,75.13
1/11/2011,46.83,51.97,91.83,23.7,24.75,89.87,75.69
1/12/2011,47.69,52.36,92.45,24.08,25.12,91.89,76.58
1/13/2011,47.54,51.27,92.18,24.15,25.26,92.64,76.71
1/14/2011,49.25,51.62,92.83,24.43,25.29,93.41,77.84
1/18/2011,49.23,51.91,93.35,24.55,25.31,93.61,78.71
1/19/2011,48.2,51.66,92.97,24.11,25.2,91.95,78.24
1/20/2011,47.57,51.24,92.71,23.82,25.49,90.44,77.75
1/21/2011,47.61,51.58,93.78,24.38,25.61,89.85,78.98
1/24/2011,48.08,51.91,94.1,24.65,25.82,90.51,78.59
1/25/2011,47.21,51.44,94.08,24.2,25.62,88.45,78.68
1/26/2011,46.76,52.79,94.64,24.49,25.88,91.36,79.66
1/27/2011,46.68,52.9,94.75,24.48,25.86,89.38,79.88
1/28/2011,46.21,53.79,93.37,24.18,25.72,91.15,78.99
1/31/2011,47.47,54.48,94.93,24.42,25.78,95.16,80.68
2/1/2011,47.98,54.67,96.22,26.22,25.92,95.53,83.91
2/2/2011,47.13,54.97,96.48,25.55,25.76,95.52,83.41
2/3/2011,46.58,54.91,97.31,25.29,25.9,94.83,83.44
2/4/2011,46.03,54.64,97.11,25.03,25.83,95.75,83.28
2/7/2011,46.54,55.11,97.66,24.62,26.05,95,83.93
2/8/2011,46.79,54.89,97.74,24.77,26.05,93.97,82.98
2/9/2011,45.83,53.87,96.24,23.86,25.9,94.28,82.55
2/10/2011,45.93,53.42,96.7,23.45,26.17,96.33,83.2
2/11/2011,45.8,54.57,96.45,23.7,26.4,96.4,82.82
2/14/2011,46.69,56.24,96.95,23.97,26.53,98.69,84.91
2/15/2011,47.05,56.03,96.34,23.83,26.84,97.76,82.97
2/16/2011,47.3,57.14,96.66,24.49,27.14,99.86,83.69
2/17/2011,48.1,57.57,97.17,24.63,27.61,100.54,83.88
2/18/2011,47.93,58.41,98.72,24.64,28.3,99.23,84.5
2/22/2011,47.03,58.4,100.32,24.89,27.72,98.72,85.44
2/23/2011,47.58,59.9,102.27,25.79,27.74,100.67,87.07
2/24/2011,47.38,58.91,102.03,26.13,27.61,100.4,85.97
2/25/2011,48.1,58.91,102.1,26.11,28.02,102.86,85.34
2/28/2011,48.47,59.36,103.75,26.39,28.26,102.34,85.53
3/1/2011,47.6,59.33,102.9,26.43,27.79,99.27,84.8
3/2/2011,47.74,59.65,103.47,26.63,27.88,99.35,85.08
3/3/2011,48.21,60.64,104.19,27.04,28.36,100.02,85.82
3/4/2011,48.56,60.97,103.75,27.67,28.25,100,85.08
3/7/2011,48.15,60.38,103.01,27.45,28.05,99.28,84.72
3/8/2011,47.81,59.7,103.77,27.1,28.41,97.45,84.6
3/9/2011,47.41,59.49,102.14,26.87,28.61,97.37,84.38
3/10/2011,45.66,57.31,99.08,26,28.46,94.5,81.38
3/11/2011,45.75,58.17,99.93,26.43,28.6,95.07,82.12
3/14/2011,45.07,57.81,100.8,26.38,28.27,97.14,82.38
3/15/2011,43.77,57.16,101.23,25.53,27.5,96.95,81.39
3/16/2011,43.25,56.21,99.51,25.94,27.23,95.75,79.31
3/17/2011,44.68,58.49,102.24,26.91,27.8,99.69,81.16
3/18/2011,45.11,57.44,102.8,27.1,28.03,98.72,80.85
3/21/2011,45.8,59.12,105.19,27.83,28.96,100.94,82.84
3/22/2011,45.74,58.87,105.23,27.43,28.9,99.8,82.56
3/23/2011,46.23,59.87,105.48,27.64,28.92,98,82.6
3/24/2011,46.81,60.76,105.38,27.96,28.66,99.35,82.73
3/25/2011,46.87,61.17,106.78,27.57,28.92,100.04,83.62
3/28/2011,46.04,60.66,106.04,27.24,28.77,99.9,83.47
3/29/2011,44.78,60.08,107.37,27.24,28.59,102.77,83.25
3/30/2011,44.58,61.51,108.01,27.41,28.86,102.81,84.49
3/31/2011,44.14,60.88,107.49,27.64,29.28,101.92,84.13
